Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),243,1,(x178),6195941,"+31,969",43605021,"+150,695",2253653740
2,+1,Alex Warren - Ordinary,68,2,(x2),5110419,"+108,683",34628167,"+147,309",224787695
3,-1,Billie Eilish - BIRDS OF A FEATHER,334,1,(x25),5065726,"+33,575",35687651,"-341,107",2358872079
4,=,ROSÉ - APT. (w/ Bruno Mars),180,1,(x28),4474832,"-28,240",32757674,"-35,434",1454003267
5,=,Kendrick Lamar - luther,145,2,(x20),4048902,"-14,149",28413318,"-105,201",774264519
6,=,Gracie Abrams - That’s So True,180,3,(x7),4000503,"+76,479",27784730,"+26,783",911303273
7,=,JENNIE - like JENNIE,40,7,,3889114,"+165,140",24652964,"+535,044",150944111
8,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",49,5,,3770091,"+124,015",26312483,"+301,615",137958864
9,=,Gigi Perez - Sailor Song,241,6,,3680359,"+123,617",25461449,"-204,188",863385170
10,=,Bad Bunny - DtMF,101,1,(x16),3477340,"+43,751",25504060,"-292,425",645377566
11,+3,Benson Boone - Beautiful Things,453,1,(x35),3389961,"+153,216",22944724,"+453,943",2009970520
12,-1,Doechii - Anxiety,42,2,(x6),3310685,"-50,819",24316779,"-303,563",190151608
13,-1,Lola Young - Messy,134,8,,3304734,"+17,675",23064790,"-65,097",486257831
14,-1,Sabrina Carpenter - Espresso,369,1,(x32),3275040,"-4,993",23252418,"+93,673",2111931165
15,=,Billie Eilish - WILDFLOWER,334,8,,3170356,"-6,301",22531338,"-286,613",1058196879
16,=,Alemán - Te Quería Ver (w/ Neton Vega),70,13,,3073527,"-6,860",22308483,"-214,639",191938683
17,+1,Lady Gaga - Abracadabra,72,2,(x1),3051594,"+86,892",18897683,"+526,709",273525388
18,-1,Bad Bunny - BAILE INoLVIDABLE,101,3,(x1),2996565,"+27,339",21725635,"-198,133",487168905
19,=,Tate McRae - Sports car,82,14,,2986550,"+22,152",20719331,"-181,054",237760406
20,+1,The Weeknd - Timeless (w/ Playboi Carti),201,2,(x1),2963794,"+34,400",21015112,"-203,422",758931046
21,-1,Drake - NOKIA,61,15,,2940800,"-15,849",21204108,"-186,429",164280916
22,+2,NIKI - You'll Be in My Heart - Spotify Singles,24,20,,2818057,"+43,377",18378989,"+410,493",45831173
