Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga,Die With A Smile,Bruno Mars,229,1,164,6253227,"+161,090",44984769,"-231,248",2167341731
2,+1,Billie Eilish,BIRDS OF A FEATHER,,320,1,25,4906443,"+72,399",35304452,"-207,750",2288326236
3,+1,Alex Warren,Ordinary,,54,3,1,4740617,"+185,686",31483503,"+122,709",156871330
4,-2,ROSÉ,APT.,Bruno Mars,166,1,28,4716668,"-254,684",37396266,"-788,164",1387789576
5,+1,Kendrick Lamar,luther,,131,2,20,4247644,"-50,335",30875166,"-502,868",717265266
6,-1,Doechii,Anxiety,,28,2,6,4243980,"-70,842",32082478,"-671,370",138762210
7,+1,Gracie Abrams,That’s So True,,166,3,7,4008448,"+228,320",27838806,"-135,625",855527062
8,-1,Bad Bunny,DtMF,,87,1,16,3981792,"+63,292",28506939,"-213,200",593520984
9,+2,Gigi Perez,Sailor Song,,227,6,,3662380,"+238,072",24397311,"+195,444",813483210
10,-1,Ariana Grande,twilight zone,,5,3,1,3604379,"-5,436",19519381,"+3,604,379",19519381
11,-1,JENNIE,like JENNIE,,26,7,,3572395,"+137,207",26134292,"-448,925",102885863
12,+10,W Sound,La Plena - W Sound 05,"Beéle, Ovy On The Drums",35,12,,3520489,"+625,722",21182037,"+560,651",87605799
13,-1,Bad Bunny,BAILE INoLVIDABLE,,87,3,1,3360721,"+41,599",24582028,"-303,657",442781205
14,+1,Benson Boone,Beautiful Things,,439,1,35,3331135,"+196,027",23113140,"+5,454",1964440554
15,-1,Tate McRae,Sports car,,68,14,,3296962,"+79,585",22304708,"+154,608",195064809
16,=,Lola Young,Messy,,120,8,,3184322,"+90,438",22766716,"-144,182",440312557
17,=,Billie Eilish,WILDFLOWER,,320,8,,3180856,"+90,876",23076377,"-304,423",1012757572
18,=,Alemán,Te Quería Ver,Neton Vega,56,17,,3171539,"+83,860",21580281,"+299,359",147403806
19,-6,Jimin,Who,,257,1,20,3171485,"-88,978",22957369,"-364,781",1437573801
20,-1,Kendrick Lamar,Not Like Us,,331,1,10,3094783,"+55,726",22873240,"-462,864",1351285473
21,-1,The Weeknd,Timeless,Playboi Carti,187,2,1,3073621,"+63,399",22137846,"-298,392",716297271
22,-1,Sabrina Carpenter,Espresso,,355,1,32,3019291,"+122,708",21678966,"-161,049",2066909726
23,+4,Drake,NOKIA,,47,23,,2900982,"+262,254",18785893,"+147,601",121214371
24,=,Kendrick Lamar,All The Stars,SZA,663,2,14,2850459,"+71,942",20357375,"-376,978",1156520770
25,-2,Lil Tecca,Dark Thoughts,,19,18,,2773075,"-28,341",19989802,"-249,423",50488441
26,=,Lady Gaga,Abracadabra,,58,2,1,2741212,"+51,183",19561360,"-112,758",236617339
27,+1,Teddy Swims,Lose Control,,503,5,,2700487,"+111,455",19235559,"-60,016",1583254288
28,-3,Bad Bunny,EoO,,87,9,,2691504,"-32,690",19891558,"-288,869",274266284
29,+5,The Goo Goo Dolls,Iris,,565,29,,2574524,"+247,426",16740962,"+205,981",903869314
30,-1,Chappell Roan,"Good Luck, Babe!",,358,5,,2560364,"-24,091",18824974,"-241,826",1391739024
31,+5,Lord Huron,The Night We Met,,974,15,,2481156,"+186,543",16314748,"+28,221",1712827681
32,-1,Bad Bunny,NUEVAYoL,,87,5,,2476840,"+70,362",17654447,"-178,390",368254295
33,+20,Neton Vega,Morena,Peso Pluma,46,33,,2468518,"+456,423",14797667,"+545,968",84744177
34,+1,The Weeknd,One Of The Girls,"JENNIE, Lily-Rose Depp",542,2,2,2437263,"+141,250",17388030,"+88,782",1633046183
35,-3,Chappell Roan,Pink Pony Club,,228,18,,2433175,"+32,565",17404111,"-17,497",436876408
36,-6,Ariana Grande,dandelion,,5,17,,2399207,"-171,873",13135546,"+2,399,207",13135546
37,-4,Kendrick Lamar,tv off,Lefty Gunplay,130,5,,2360973,"+24,746",17074486,"-232,896",452779311
38,-1,Alleh,capaz (merengueton),Yorghaki,101,34,,2349129,"+55,168",16457313,"+104,622",218019227
39,+12,j-hope,MONA LISA,,12,12,,2301561,"+253,107",16442391,"-560,642",30788457
40,-2,Sabrina Carpenter,Taste,,222,2,3,2278323,"+2,451",16096103,"-127,323",926162655
41,+3,Ariana Grande,we can't be friends (wait for your love),,390,1,13,2240141,"+110,371",15302847,"+379,393",1306514925
42,+31,Neton Vega,Loco,,96,14,,2231202,"+475,759",13606186,"+263,590",264866969
43,+5,yung kai,blue,,122,22,,2226741,"+151,855",16290146,"-246,817",293276529
