Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),221,1,(x156),6414713,"+217,119",46645762,"-335,944",2115872487
2,=,ROSÉ - APT. (w/ Bruno Mars),158,1,(x28),5428375,"-66,027",40081477,"-200,417",1344888478
3,=,Billie Eilish - BIRDS OF A FEATHER,312,1,(x25),5001688,"+340,696",35229001,"+7,467",2247907591
4,+1,Doechii - Anxiety,20,2,(x6),4836467,"+292,691",38450287,"-1,030,948",101764382
5,-1,Kendrick Lamar - luther,123,2,(x20),4690626,"+134,040",34052721,"-370,028",681639588
6,+3,Alex Warren - Ordinary,46,6,,4327754,"+715,696",27885913,"+664,195",120769919
7,=,Gracie Abrams - That’s So True,158,3,(x7),4064017,"+435,740",28103402,"-9,011",823544183
8,-2,Bad Bunny - DtMF,79,1,(x16),4037919,"+142,351",29743750,"-81,663",560819053
9,-1,JENNIE - like JENNIE,18,7,,3943456,"+326,128",28234847,"-233,383",72730251
10,=,Jimin - Who,249,1,(x20),3584266,"+27,872",24539411,"+123,011",1411080166
11,=,Bad Bunny - BAILE INoLVIDABLE,79,3,(x1),3544034,"+206,742",26010244,"+27,658",414534799
12,=,Kendrick Lamar - Not Like Us,323,1,(x10),3479102,"+177,543",26390047,"-542,606",1324854586
13,=,Gigi Perez - Sailor Song,219,6,,3472150,"+247,659",23913756,"+51,006",785618963
14,=,Billie Eilish - WILDFLOWER,312,8,,3354911,"+217,490",22957246,"+7,224",986195916
15,=,Benson Boone - Beautiful Things,431,1,(x35),3341161,"+261,342",22938678,"+115,498",1938001733
16,=,Playboi Carti - EVIL J0RDAN,11,1,(x2),3255808,"+196,675",29319316,"-2,768,052",58207813
17,+1,Lola Young - Messy,112,8,,3229394,"+180,522",23792567,"-72,458",414217337
18,-1,The Weeknd - Timeless (w/ Playboi Carti),179,2,(x1),3212590,"+159,639",23336901,"-86,296",690787412
19,=,Sabrina Carpenter - Espresso,347,1,(x32),3112409,"+163,013",22363153,"+24,182",2042050420
20,=,Kendrick Lamar - All The Stars (w/ SZA),655,2,(x14),3099876,"+159,530",22686338,"-313,068",1132935958
21,=,Playboi Carti - RATHER LIE (w/ The Weeknd),11,3,(x1),3027226,"+207,484",25718644,"-1,636,591",48005237
22,+6,Tate McRae - Sports car,60,14,,2976755,"+461,151",19508644,"+85,019",169617747
23,-1,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",27,22,,2915443,"+263,479",21016243,"-44,643",63463924
24,=,Lady Gaga - Abracadabra,50,2,(x1),2838124,"+226,202",21672465,"-432,110",214202009
25,-2,Lil Tecca - Dark Thoughts,11,18,,2832050,"+213,376",20348427,"+646,279",27476141
26,-1,Bad Bunny - EoO,79,9,,2824664,"+234,828",18652502,"+860,237",251394353
27,-1,"Chappell Roan - Good Luck, Babe!",350,5,,2743766,"+204,276",19917569,"-148,973",1370111860
28,-1,Teddy Swims - Lose Control,495,5,,2706868,"+181,803",18712610,"+207,120",1561258226
29,=,Alemán - Te Quería Ver (w/ Neton Vega),48,26,,2678805,"+184,620",18512475,"+136,662",122951345
30,+1,Drake - NOKIA,39,27,,2645447,"+239,659",18562531,"+8,109",99675097
31,-1,Bad Bunny - NUEVAYoL,79,5,,2549565,"+89,536",18896278,-664,347944618
32,=,yung kai - blue,114,22,,2463491,"+123,394",16370597,"+241,797",274512825
33,+1,Kendrick Lamar - tv off (w/ Lefty Gunplay),122,5,,2456386,"+168,804",18360230,"-348,011",433110956
34,+6,Lord Huron - The Night We Met,966,15,,2434361,"+274,004",16586278,"+169,408",1694059998
35,=,Chappell Roan - Pink Pony Club,220,18,,2429041,"+144,264",17797998,"-125,061",417021625
36,-3,j-hope - MONA LISA,4,12,,2428136,"+124,366",11483863,"+2,428,136",11483863
37,+1,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",534,2,(x2),2421758,"+213,294",16741641,"-7,436",1613309672
38,+4,Sabrina Carpenter - Taste,214,2,(x3),2348078,"+244,274",16449715,"+34,408",907660906
39,=,Tito Double P - TATTOO,25,21,,2312544,"+119,311",17491444,"-273,096",62091390
40,-4,The Goo Goo Dolls - Iris,557,32,,2311985,"+64,655",16327561,"+23,540",884759809
41,-4,The Neighbourhood - Sweater Weather,1758,14,,2311613,"+102,710",15850499,"+163,307",3037445701
42,+1,Coldplay - Yellow,1547,15,,2295217,"+198,187",15235786,"+127,300",2173578176
43,+1,Arctic Monkeys - I Wanna Be Yours,992,11,,2277639,"+191,525",15411406,"+131,611",2389232536
44,-3,Fuerza Regida - ME JALO (w/ Grupo Frontera),88,39,,2235379,"+99,811",15887571,"+7,824",166774976
45,+1,Alleh - capaz (merengueton) (w/ Yorghaki),93,37,,2124818,"+104,384",15152689,"+35,429",199317407
46,+1,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",79,8,,2114449,"+117,493",15957016,"-20,007",262836695
47,-2,Bad Bunny - VOY A LLeVARTE PA PR,79,7,,2111713,"+43,275",16260455,"+16,749",298760659
48,+3,Bruno Mars - Just the Way You Are,857,27,,2100497,"+162,277",14973843,"-31,069",1175742539
